part_used,part_name,,,,,,,,,,,,,,,,,,
RH-IXD067WJZZQ,IC,,,,,,,,,,,,,,,,,,
RH-IXD508WJQZ,IC,,,,,,,,,,,,,,,,,,
RDENC2590TPZZ,INVERTER_UNIT,,,,,,,,,,,,,,,,,,
RDENC2610TPZZ,INVERTER_UNIT,,,,,,,,,,,,,,,,,,
RUNTKA862WJPZ,INVERTER_UNIT,,,,,,,,,,,,,,,,,,
CCOVAF715WJ61,IR_COVER,,,,,,,,,,,,,,,,,,
DUNTKH066FM04,IR_UNIT,,,,,,,,,,,,,,,,,,
9ACID5531011,IR_UNIT,,,,,,,,,,,,,,,,,,
9JD077Q038009,IR_UNIT,,,,,,,,,,,,,,,,,,
9JRMY99000009,IR_UNIT,,,,,,,,,,,,,,,,,,
9JRMYNEW00378,IR_UNIT,,,,,,,,,,,,,,,,,,
9JRMYNEW01262,IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUE157I3,IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUE175I2,IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUEA4102,IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUECB32I,IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUG180C2,IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUG265C2,IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUGBA11I,IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUGD88C2,IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUJA523,IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUKDDRSI,IR_UNIT,,,,,,,,,,,,,,,,,,
B3KUKDKUSI,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKF539FM02,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKF799FMF7,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG016FMF8,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG236FM21,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG238FM01,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG238FM02,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG238FM04,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG265FM02,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG447FMG1,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG447FMG2,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG463FM01,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG498FM02,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG498FMG1,IR_UNIT,,,,,,,,,,,,,,,,,,
